Date	Time	Actual	Forecast	Previous
May 15 2019	8:30am	0.4	0.4	0.7
Apr 17 2019	8:30am	0.7	0.7	0.7
Mar 22 2019	8:30am	0.7	0.6	0.1
Feb 27 2019	9:30am	0.1	0.2	-0.1
Jan 18 2019	9:30am	-0.1	-0.4	-0.4
Dec 19 2018	9:30am	-0.4	-0.4	0.3
Nov 23 2018	9:30am	0.3	0.1	-0.4
Oct 19 2018	8:30am	-0.4	0.1	-0.1
Sep 21 2018	8:30am	-0.1	-0.1	0.5
Aug 17 2018	8:30am	0.5	0.1	0.1
Jul 20 2018	8:30am	0.1	0.1	0.1
Jun 22 2018	8:30am	0.1	0.4	0.3
May 18 2018	8:30am	0.3	0.3	0.3
Apr 20 2018	8:30am	0.3	0.4	0.6
Mar 23 2018	8:30am	0.6	0.4	0.7
Feb 23 2018	9:30am	0.7	0.4	-0.4
Jan 26 2018	9:30am	-0.4	-0.3	0.3
Dec 21 2017	9:30am	0.3	0.2	0.1
Nov 17 2017	9:30am	0.1	0.1	0.2
Oct 20 2017	8:30am	0.2	0.3	0.1
Sep 22 2017	8:30am	0.1	0.2	0.0
Aug 18 2017	8:30am	0.0	0.0	-0.1
Jul 21 2017	8:30am	-0.1	-0.1	0.1
Jun 23 2017	8:30am	0.1	0.2	0.4
May 19 2017	8:30am	0.4	0.5	0.2
Apr 21 2017	8:30am	0.2	0.4	0.2
Mar 24 2017	8:30am	0.2	0.2	0.9
Feb 24 2017	9:30am	0.9	0.3	-0.2
Jan 20 2017	9:30am	-0.2	0.0	-0.4
Dec 22 2016	9:30am	-0.4	-0.1	0.2
Nov 18 2016	9:30am	0.2	0.2	0.1
Oct 21 2016	8:30am	0.1	0.2	-0.2
Sep 23 2016	8:30am	-0.2	0.1	-0.2
Aug 19 2016	8:30am	-0.2	0.0	0.2
Jul 22 2016	8:30am	0.2	0.2	0.4
Jun 17 2016	8:30am	0.4	0.5	0.3
May 20 2016	8:30am	0.3	0.4	0.6
Apr 22 2016	8:30am	0.6	0.3	0.2
Mar 18 2016	8:30am	0.2	0.3	0.2
Feb 19 2016	9:30am	0.2	0.0	-0.5
Jan 22 2016	9:30am	-0.5	-0.4	-0.1
Dec 18 2015	9:30am	-0.1	0.1	0.1
Nov 20 2015	9:30am	0.1	0.1	-0.2
Oct 23 2015	8:30am	-0.2	-0.1	0.0
Sep 18 2015	8:30am	0.0	0.0	0.1
Aug 21 2015	8:30am	0.1	0.1	0.2
Jul 17 2015	8:30am	0.2	0.2	0.6
Jun 19 2015	8:30am	0.6	0.4	-0.1
May 22 2015	8:30am	-0.1	0.1	0.7
Apr 17 2015	8:30am	0.7	0.5	0.9
Mar 20 2015	8:30am	0.9	0.7	-0.2
Feb 26 2015	9:30am	-0.2	-0.4	-0.7
Jan 23 2015	9:30am	-0.7	-0.5	-0.4
Dec 19 2014	9:30am	-0.4	-0.2	0.1
Nov 21 2014	9:30am	0.1	-0.3	0.1
Oct 17 2014	8:30am	0.1	0.0	0.0
Sep 19 2014	8:30am	0.0	-0.1	-0.2
Aug 22 2014	8:30am	-0.2	-0.1	0.1
Jul 18 2014	8:30am	0.1	0.1	0.5
Jun 20 2014	8:30am	0.5	0.2	0.3
May 23 2014	8:30am	0.3	0.3	0.6
Apr 17 2014	8:30am	0.6	0.4	0.8
Mar 21 2014	8:30am	0.8	0.6	0.3
Feb 21 2014	9:30am	0.3	0.1	-0.2
Jan 24 2014	9:30am	-0.2	-0.2	0.0
Dec 20 2013	9:30am	0.0	0.2	-0.2
Nov 22 2013	9:30am	-0.2	0.2	0.2
Oct 18 2013	8:30am	0.2	0.1	0.0
Sep 20 2013	8:30am	0.0	0.1	0.1
Aug 23 2013	8:30am	0.1	0.1	0.0
Jul 19 2013	8:30am	0.0	0.2	0.2
Jun 21 2013	8:30am	0.2	0.4	-0.2
May 17 2013	8:30am	-0.2	0.0	0.2
Apr 19 2013	8:30am	0.2	0.3	1.2
Mar 27 2013	8:30am	1.2	0.6	0.1
Feb 22 2013	9:30am	0.1	0.3	-0.6
Jan 25 2013	9:30am	-0.6	-0.2	-0.2
Dec 21 2012	9:30am	-0.2	0.0	0.2
Nov 23 2012	9:30am	0.2	0.2	0.2
Oct 19 2012	8:30am	0.2	0.3	0.2
Sep 21 2012	8:30am	0.2	0.4	-0.1
Aug 17 2012	8:30am	-0.1	0.2	-0.4
Jul 20 2012	8:30am	-0.4	-0.2	-0.1
Jun 22 2012	8:30am	-0.1	0.2	0.4
May 18 2012	8:30am	0.4	0.3	0.4
Apr 20 2012	8:30am	0.4	0.5	0.4
Mar 23 2012	7:00am	0.4	0.4	0.4
Feb 17 2012	8:00am	0.4	0.3	-0.6
Jan 20 2012	8:00am	-0.6	-0.1	0.1
Dec 20 2011	8:00am	0.1	0.2	0.2
Nov 18 2011	8:00am	0.2	0.1	0.2
Oct 21 2011	8:00am	0.2	0.1	0.3
Sep 21 2011	7:00am	0.3	0.1	0.2
Aug 19 2011	7:00am	0.2	0.2	-0.7
Jul 22 2011	7:00am	-0.7	-0.2	0.7
Jun 29 2011	7:00am	0.7	0.2	0.3
May 20 2011	7:00am	0.3	0.5	1.1
Apr 19 2011	7:00am	1.1	0.7	0.3
Mar 18 2011	7:00am	0.3	0.4	0.3
Feb 18 2011	8:00am	0.3	0.3	0.0
Jan 25 2011	8:00am	0.0	0.1	0.1
Dec 21 2010	8:00am	0.1	0.3	0.4
Nov 23 2010	8:00am	0.4	0.2	0.2
Oct 22 2010	7:00am	0.2	0.2	-0.1
Sep 21 2010	7:00am	-0.1	0.0	0.5
Aug 20 2010	7:00am	0.5	0.0	-0.1
Jul 23 2010	7:00am	-0.1	0.0	0.3
Jun 22 2010	7:00am	0.3	0.1	0.3
May 21 2010	7:00am	0.3	0.2	0.0
Apr 23 2010	7:00am	0.0	0.2	0.4
Mar 19 2010	7:00am	0.4	0.4	0.3
Feb 18 2010	8:00am	0.3	0.3	-0.3
Jan 20 2010	8:00am	-0.3	-0.1	0.5
Dec 17 2009	8:00am	0.5	0.3	-0.1
Nov 18 2009	8:00am	-0.1	0.2	0.0
Oct 16 2009	7:00am	0.0	0.1	0.0
Sep 17 2009	7:00am	0.0	0.2	-0.3
Aug 19 2009	7:00am	-0.3	-0.2	0.3
Jul 17 2009	7:00am	0.3	0.3	0.7
